Projet,MultifacetedAbs,InsufficientMod,TightlyCoupledMod,WeakendMod,ComplexExpression,DeprecatedStatement,IncompleteConditional,IncompleteTasks
puppet-zabbix,216,239,221,138,2155,0,368,392
puppet-icinga2-legacy,968,1316,1536,640,6267,1269,4994,4774
puppet-kafka,250,350,279,164,3940,405,528,7
ffnord-puppet-gateway,1503,694,904,189,1597,815,2548,925
biemond-oradb,163,306,320,0,0,0,0,199
eyp-systemd,53,315,1134,146,0,0,0,0
puppet-duplicity,380,288,312,0,0,0,0,0
puppet-network,118,287,103,0,0,0,0,0
puppet-openiosds,531,595,293,5,0,0,0,0
puppet-filebeat,1033,626,81,49,0,0,0,0
htcondor,208,168,549,337,0,0,0,0
puppet-samba,357,466,438,0,0,0,0,0
puppet-mcollective,72,103,69,0,0,0,0,0
puppet-vmwaretools,302,227,269,77,0,0,0,0
cesnet-hadoop,998,1279,1174,2609,0,0,0,0
puppet-nfs,60,480,295,93,0,0,0,0
puppet-ipa,209,318,823,125,0,0,0,0
puppet-smokeping,97,87,66,0,0,0,0,0
puppet-openstack-cookiecutter,0,374,396,0,0,0,0,0
puppet-wp,177,443,97,0,0,0,0,0
ossec-puppet,23,83,298,5,0,0,0,0
puppet-sys,1762,1135,2119,352,0,0,0,0
bzed-letsencrypt,117,184,92,7,0,0,0,0
puppet-nginx,211,128,382,266,0,0,0,0
kodekloud-engineer,571,52,962,0,0,0,0,0
datacentred-ldap,401,109,258,0,0,0,0,0
kke-solutions,477,29,486,0,0,0,0,0
puppet-module-kerberos,210,270,397,110,0,0,0,0
puppet-monit,616,491,610,0,0,0,0,0
ZendServerPuppet,315,869,548,343,0,0,0,0
ankus-modules,3965,1909,4049,1084,0,0,0,0
puppet-bareos,730,630,1069,7,0,0,0,0
puppet-jdk_oracle,80,18,7,0,0,0,0,0
puppet-munki,169,132,143,22,0,0,0,0
Puppet-Brocade-vTM,165,2614,3397,0,0,0,0,0
puppet-itop,334,103,24,135,0,0,0,0
puppet-shorewall,112,431,810,0,0,0,0,0
puppet-firewall_multi,0,6,0,0,0,0,0,0
pe_metric_curl_cron_jobs,30,56,72,0,0,0,0,0
puppet-taiga,60,114,437,80,0,0,0,0
kickstack,983,788,875,214,0,0,0,0
puppetlabs-nginxpack,377,195,102,210,0,0,0,0
aws-apim,108,75,0,0,0,0,0,0
puppet-windows,217,205,469,0,0,0,0,0
cisecurity,86,256,58,0,0,0,0,0
puppet-acme,97,224,64,23,0,0,0,0
hesco-weave,195,287,274,56,0,0,0,0
puppet-splunk,227,804,174,5,0,0,0,0
puppet-existdb,24,89,63,47,0,0,0,0
puppet-opendkim,195,62,23,90,0,0,0,0
hetzner-roundcube,276,117,207,31,0,0,0,0
aco-oracle_java,812,609,107,371,0,0,0,0
puppet-clamav,387,75,97,12,0,0,0,0
puppet-sentry,74,174,66,9,0,0,0,0
puppet-suricata,194,107,108,0,0,0,0,0
rpki-mgmt,637,147,367,0,0,0,0,0
puppet-bind,269,170,146,125,0,0,0,0
puppet-barman,14,134,340,21,0,0,0,0
puppet-phpmyadmin,45,122,79,0,0,0,0,0
puppet-gitlab-ci-multi-runner,19,27,4,0,0,0,0,0
puppet-remi,0,8,55,0,0,0,0,0
runyer,35,86,35,35,0,0,0,0
puppet_stack,211,518,280,207,0,0,0,0
puppet-gerrit,240,417,102,20,0,0,0,0
puppet-syncthing,168,168,174,5,0,0,0,0
cis-puppet,7754,652,4221,798,0,0,0,0
puppetlabs-patching_as_code,268,183,145,0,0,0,0,0
puppet-cloudwatchlogs,136,43,667,0,0,0,0,0
podman,57,234,368,0,0,0,0,0
dovecot,104,150,504,103,0,0,0,0
puppet-mailcatcher,228,139,159,170,0,0,0,0
puppet-stackdriver-agent,155,39,1933,622,0,0,0,0
puppet-munki_appliance,244,115,249,98,0,0,0,0
puppet-ansible,306,318,196,85,0,0,0,0
newrelic_plugins_puppet,272,241,175,0,0,0,0,0
puppet-asterisk,281,91,502,35,0,0,0,0
puppet-authconfig,0,8,0,0,0,0,0,0
psadminio-io_portalwar,18,496,185,0,0,0,0,0
puppet-baremetal-windows,87,64,198,0,0,0,0,0
puppet-phalconphp,559,129,86,65,0,0,0,0
puppet-liferay,314,169,611,9,0,0,0,0
puppet-kubernetes,271,117,136,162,0,0,0,0
otto,254,36,6,0,0,0,0,0
puppet-vyatta,9,18,1523,0,0,0,0,0
