smells_pairs,chi2,Chi2 p-value,cramers_v
UnstructuredMod-MissingDep,252.11542385264073,8.979782491470259e-57,0.35837652830942773
UnstructuredMod-HairballStr,61.245079503965705,5.0394349901427134e-15,0.17663446675732852
UnstructuredMod-DeficientEnc,20.350204154861657,6.448620771113657e-06,0.10181792344084731
MissingDep-HairballStr,242.26208409203718,1.2632219358577746e-54,0.3513035793092278
WeakendMod-IncompleteConditional,44.66399176437005,2.3391996720277475e-11,0.15084072724097045
ComplexExpression-DeprecatedStatement,356.2322891266173,1.8621043115283327e-79,0.42599695129160114
ComplexExpression-IncompleteConditional,283.5713597946545,1.2512734849100859e-63,0.3800765130592039
ComplexExpression-IncompleteTasks,23.833033074157203,1.050638727833844e-06,0.11018678411617751
DeprecatedStatement-IncompleteConditional,97.21614830281047,6.215765360246008e-23,0.2225404979002943
IncompleteConditional-IncompleteTasks,114.29868067147711,1.1208729375613607e-26,0.24130174297389564
